train.groups,atoms,n.train.atoms,test.fold,seed,algorithm,percent.error
all,41409,25027.2,6,1,cv_glmnet,2.8006589785832
all,41409,41409,6,1,cv_glmnet,2.69082921471719
all,41409,4095.45,6,2,cv_glmnet,3.02031850631521
all,41409,8190.9,6,2,cv_glmnet,2.74574409665019
all,41409,16381.8,6,2,cv_glmnet,2.69082921471719
all,41409,25027.2,6,2,cv_glmnet,2.74574409665019
all,41409,41409,6,2,cv_glmnet,2.69082921471719
all,41409,4095.45,6,3,cv_glmnet,2.63591433278418
all,41409,8190.9,6,3,cv_glmnet,2.69082921471719
all,41409,16381.8,6,3,cv_glmnet,2.63591433278418
all,41409,25027.2,6,3,cv_glmnet,2.8555738605162
all,41409,41409,6,3,cv_glmnet,2.69082921471719
all,41409,4095.45,6,1,cv_glmnet,2.98453793599425
all,41409,8190.9,6,1,cv_glmnet,2.69687162891046
all,41409,16381.8,6,1,cv_glmnet,2.87666307083783
all,41409,25027.2,6,1,cv_glmnet,2.87666307083783
all,41409,41409,6,1,cv_glmnet,2.84070478245236
all,41409,4095.45,6,2,cv_glmnet,2.80474649406688
all,41409,8190.9,6,2,cv_glmnet,2.84070478245236
all,41409,16381.8,6,2,cv_glmnet,2.76878820568141
all,41409,25027.2,6,2,cv_glmnet,2.76878820568141
all,41409,41409,6,2,cv_glmnet,2.84070478245236
all,41409,4095.45,6,3,cv_glmnet,2.66091334052499
all,41409,8190.9,6,3,cv_glmnet,2.80474649406688
all,41409,16381.8,6,3,cv_glmnet,2.66091334052499
all,41409,25027.2,6,3,cv_glmnet,2.73282991729594
all,41409,41409,6,3,cv_glmnet,2.80474649406688
all,41409,4095.45,7,1,cv_glmnet,2.96866410115448
all,41409,8190.9,7,1,cv_glmnet,2.58383727322705
all,41409,16381.8,7,1,cv_glmnet,2.74876305662452
all,41409,25027.2,7,1,cv_glmnet,2.69378779549203
all,41409,41409,7,1,cv_glmnet,2.58383727322705
all,41409,4095.45,7,2,cv_glmnet,2.52886201209456
all,41409,8190.9,7,2,cv_glmnet,2.41891148982958
all,41409,16381.8,7,2,cv_glmnet,2.47388675096207
all,41409,25027.2,7,2,cv_glmnet,2.47388675096207
all,41409,41409,7,2,cv_glmnet,2.63881253435954
all,41409,4095.45,7,3,cv_glmnet,2.47388675096207
all,41409,8190.9,7,3,cv_glmnet,2.41891148982958
all,41409,16381.8,7,3,cv_glmnet,2.47388675096207
all,41409,25027.2,7,3,cv_glmnet,2.58383727322705
all,41409,41409,7,3,cv_glmnet,2.63881253435954
all,41409,4095.45,7,1,cv_glmnet,2.73282991729594
all,41409,8190.9,7,1,cv_glmnet,2.62495505213952
all,41409,16381.8,7,1,cv_glmnet,2.66091334052499
all,41409,25027.2,7,1,cv_glmnet,2.5170801869831
all,41409,41409,7,1,cv_glmnet,2.37324703344121
all,41409,4095.45,7,2,cv_glmnet,2.73282991729594
all,41409,8190.9,7,2,cv_glmnet,2.66091334052499
all,41409,16381.8,7,2,cv_glmnet,2.5170801869831
all,41409,25027.2,7,2,cv_glmnet,2.44516361021215
all,41409,41409,7,2,cv_glmnet,2.37324703344121
all,41409,4095.45,7,3,cv_glmnet,2.87666307083783
all,41409,8190.9,7,3,cv_glmnet,2.73282991729594
all,41409,16381.8,7,3,cv_glmnet,2.44516361021215
all,41409,25027.2,7,3,cv_glmnet,2.44516361021215
all,41409,41409,7,3,cv_glmnet,2.40920532182668
all,41409,4095.45,8,1,cv_glmnet,3.02363936228697
all,41409,8190.9,8,1,cv_glmnet,2.8587135788895
